persona;partido;ideologia
BOSQUET AZNAR;CIUDADANOS;Derecha
BRAVO BAENA;PP;Derecha
MULAS BELIZÓN;VOX;Derecha
CANO PALOMINO;ADELANTE;Izquierda
HERNÁNDEZ WHIT;CIUDADANOS;Derecha
LÓPEZ GABARRO;PP;Derecha
RAMÍREZ DE ARELLANO;PSOE;Izquierda
PÉREZ FERNÁNDEZ;PSOE;Izquierda
ROMERO JIMÉNEZ;CIUDADANOS;Derecha
MARTÍN IGLESIAS;PP;Derecha
GAVIRA FLORENTINO;VOX;Derecha
AGUILERA CLAVIJO;ADELANTE;Izquierda
JIMÉNEZ DÍAZ;PSOE;Izquierda
BASCÓN GÓMEZ;AXSI;Izquierda
SERRANO CASTRO;VOX;Derecha
GARCÍA CASAUCAU;ADELANTE;Izquierda
OÑA SEVILLA;PP;Derecha
ALBÁS VIVES;CIUDADANOS;Derecha
GARCÍA JIMÉNEZ;PP;Derecha
GAYA SÁNCHEZ;PSOE;Izquierda
GARCÍA SÁNCHEZ;ADELANTE;Izquierda
ALONSO FERNÁNDEZ;VOX;Derecha
SÁNCHEZ MUÑOZ;CIUDADANOS;Derecha
RUIZ ORTIZ;PP;Derecha
MÁRQUEZ ROMERO;PSOE;Izquierda
CARAZO VILLALONGA;PP;Derecha
HERNÁNDEZ VALDÉS;VOX;Derecha
CRESPO GARCÍA;PP;Derecha
SÁNCHEZ LÓPEZ;CIUDADANOS;Derecha
BUENO NAVARRO;PP;Derecha
RUBIÑO YÁÑEZ;PSOE;Izquierda
AGUIRRE MUÑOZ;PP;Derecha
RUIZ GARCÍA;PSOE;Izquierda
MORA GRANDE;ADELANTE;Izquierda
CARRILLO GUERRERO;CIUDADANOS;Derecha
CARMONA SÁNCHEZ;PP;Derecha
RUIZ CASTRO;PSOE;Izquierda
FÉRRIZ GÓMEZ;PSOE;Izquierda
MORILLO ALEJO;VOX;Derecha
AHUMADA GAVIRA;ADELANTE;Izquierda
FERNÁNDEZ ASENSIO;CIUDADANOS;Derecha
HERRERA DE LAS HERAS;PP;Derecha
FERRIZ GOMEZ;PSOE;Izquierda
